"t (s)","a (m/s²)"
2.626363453E0,-7.264327407E-1
2.631410536E0,-7.630459070E-1
2.636478765E0,-8.612717390E-1
2.641549651E0,-1.020592332E0
2.646616005E0,-1.176095843E0
2.651688870E0,-1.342459917E0
2.656743505E0,-1.386405230E0
2.661823192E0,-1.510255814E0
2.666987567E0,-1.604366899E0
2.671941942E0,-1.648024440E0
2.677009026E0,-1.698617816E0
2.682057307E0,-1.774823427E0
2.687127672E0,-1.785740376E0
2.692164130E0,-1.792336106E0
2.697222672E0,-1.775323749E0
2.702294286E0,-1.768169403E0
2.707388870E0,-1.770213604E0
2.712419547E0,-1.752103448E0
2.717485692E0,-1.620068669E0
2.722558036E0,-1.723983288E0
2.727619026E0,-1.724923611E0
2.732694547E0,-1.729680181E0
2.737754495E0,-1.665362120E0
2.742830745E0,-1.737921834E0
2.747889130E0,-1.807790637E0
2.752952099E0,-1.672852397E0
2.758010380E0,-1.741744518E0
2.763089338E0,-1.889009356E0
2.768235172E0,-1.892428994E0
2.773270901E0,-2.011142969E0
2.778342828E0,-2.026813745E0
2.783405067E0,-1.925328612E0
2.788464286E0,-1.915884018E0
2.793555120E0,-1.956121206E0
2.798616995E0,-1.738721132E0
2.803669963E0,-1.381899953E0
2.808737411E0,-1.423853397E0
2.813802672E0,-1.377509713E0
2.818868922E0,-1.303428531E0
2.823935172E0,-1.425987482E0
2.829000172E0,-1.617775202E0
2.834072203E0,-1.664370179E0
2.839167880E0,-1.721756816E0
2.844215015E0,-1.650066972E0
2.849276995E0,-1.626498580E0
2.854317255E0,-1.473863602E0
2.859379807E0,-1.404938459E0
2.864457724E0,-1.561189890E0
2.869514495E0,-1.457334876E0
2.874605328E0,-1.407513738E0
2.879615276E0,-1.408071518E0
2.884677463E0,-1.511799455E0
2.889744026E0,-1.516402483E0
2.894809651E0,-1.502074361E0
2.899876995E0,-1.453917742E0
2.904945276E0,-1.412703395E0
2.910009078E0,-1.564681530E0
2.915087411E0,-1.383679032E0
2.920149182E0,-1.501056194E0
2.925219234E0,-1.483121634E0
2.930276578E0,-1.435397625E0
2.935377828E0,-1.432167411E0
2.940405380E0,-1.517414451E0
2.945523453E0,-1.510219932E0
2.950596057E0,-1.356359243E0
2.955660901E0,-1.247738481E0
2.960727932E0,-1.159441590E0
2.965793505E0,-1.051171780E0
2.970862047E0,-1.139790773E0
2.975928192E0,-1.248418927E0
2.980994755E0,-1.251866698E0
2.986069859E0,-1.251041174E0
2.991121422E0,-1.258548617E0
2.996195067E0,-1.104861021E0
3.001259859E0,-9.273201227E-1
3.006319651E0,-9.531872272E-1
3.011401578E0,-1.174466133E0
3.016491630E0,-1.163655281E0
3.021539547E0,-1.032026649E0
3.026599182E0,-1.074191809E0
3.031647776E0,-1.460826993E0
3.036700745E0,-1.266833782E0
3.041777828E0,-1.178292513E0
3.046967411E0,-4.302806854E-1
3.051914442E0,-5.906225443E-1
3.056931422E0,-5.863013268E-1
3.062035797E0,-1.113836765E0
3.067071630E0,-3.633711934E-1
3.072132515E0,-8.605247736E-1
3.077200484E0,-5.885804892E-1
3.082264495E0,-9.193836451E-1
3.087356265E0,-1.823455691E-1
3.092403661E0,-8.191806078E-2
3.097479078E0,2.159425616E-1
3.102543661E0,7.366089225E-1
3.107599755E0,3.881246746E-1
3.112663036E0,3.426930010E-1
3.117748140E0,8.384283185E-1
3.122876942E0,7.408881187E-1
3.127927047E0,4.859049022E-1
3.132984859E0,7.100505829E-1
3.138049807E0,3.854038119E-1
3.143115797E0,1.166741997E-1
3.148190015E0,2.981363833E-1
3.153247984E0,8.863731623E-1
3.158316526E0,1.061201692E0
3.163379963E0,1.084407687E0
3.168460640E0,1.396613240E0
3.173517515E0,1.571392655E0
3.178582359E0,1.650547504E0
3.183647880E0,1.845965385E0
3.188724807E0,2.079344034E0
3.193809234E0,1.918035746E0
3.198879182E0,1.892472029E0
3.203926578E0,2.165907145E0
3.208994547E0,2.661639929E0
3.214063870E0,2.879801035E0
3.219094755E0,3.001518250E0
3.224156005E0,3.245370150E0
3.229234651E0,3.527228832E0
3.234321578E0,3.767949581E0
3.239322411E0,4.171692848E0
3.244425224E0,4.333097458E0
3.249454755E0,4.156163692E0
3.254523297E0,4.393821716E0
3.259625067E0,4.797999859E0
3.264691474E0,5.062682152E0
3.269757620E0,4.706216335E0
3.274799338E0,4.115811825E0
3.279861578E0,3.826598883E0
3.284928192E0,3.920061111E0
3.289995120E0,4.242905617E0
3.295053192E0,4.296619415E0
3.300159495E0,4.253301144E0
3.305298765E0,4.342567444E0
3.310309859E0,3.858303785E0
3.315374807E0,4.103898525E0
3.320454651E0,4.836790562E0
3.325524755E0,5.970695496E0
3.330578088E0,5.621527672E0
3.335641057E0,5.341911316E0
3.340705380E0,4.834676743E0
3.345771265E0,4.816176891E0
3.350836578E0,5.150400162E0
3.355905172E0,4.603342056E0
3.360970067E0,3.771513700E0
3.366035640E0,3.522091627E0
3.371111734E0,3.551517248E0
3.376194703E0,3.055085182E0
3.381246005E0,2.870545387E0
3.386317099E0,2.743709326E0
3.391380640E0,2.424240351E0
3.396445172E0,2.196287394E0
3.401486630E0,2.092153788E0
3.406543661E0,1.969144940E0
3.411632151E0,1.944650292E0
3.416653974E0,1.807763457E0
3.421713401E0,1.482655168E0
3.426784911E0,1.466878414E0
3.431844547E0,1.548570156E0
3.436912567E0,1.491513371E0
3.441978192E0,1.527928352E0
3.447323245E0,1.638492227E0
3.452109755E0,1.734714150E0
3.457186995E0,1.749132633E0
3.462243088E0,1.758841515E0
3.467311422E0,1.606072903E0
3.472376109E0,1.465381622E0
3.477479651E0,1.437320948E0
3.482540797E0,1.425925493E0
3.487648713E0,1.256772399E0
3.492696317E0,1.176308036E0
3.497759911E0,1.076721311E0
3.502827307E0,1.044320703E0
3.507923817E0,1.052424788E0
3.512959963E0,1.009832740E0
3.518053453E0,9.530723691E-1
3.523115224E0,8.891882896E-1
3.528174390E0,7.965741754E-1
3.533225484E0,7.282316685E-1
3.538291422E0,8.128103614E-1
3.543358609E0,8.667365909E-1
3.548437880E0,5.068153143E-1
3.553521422E0,-1.785290614E-2
3.558591422E0,1.715406328E-1
3.563637255E0,5.231031775E-1
3.568701578E0,3.785837889E-1
3.573776578E0,2.534049749E-1
3.578802880E0,2.958563566E-1
3.583868505E0,3.647069633E-1
3.588946370E0,3.689665794E-1
3.594033297E0,3.829198480E-1
3.599039026E0,4.279226065E-1
3.604138713E0,3.819311857E-1
3.609175067E0,2.711366415E-1
3.614236005E0,2.344909459E-1
3.619302411E0,2.001964301E-1
3.624367724E0,1.135670319E-1
3.629434078E0,5.819966272E-2
3.634499495E0,1.224197075E-1
3.639579442E0,1.986105144E-1
3.644635484E0,2.963880301E-1
3.649710692E0,2.814376056E-1
3.654825797E0,2.664043307E-1
3.659860276E0,2.562856674E-1
3.665028713E0,2.437372804E-1
3.670019911E0,2.671031058E-1
3.675100172E0,2.665144205E-1
3.680155276E0,3.090395927E-1
3.685220536E0,2.987702489E-1
3.690286734E0,2.981308401E-1
3.695352620E0,3.286377788E-1
3.700417411E0,2.538962960E-1
3.705485484E0,2.200305611E-1
3.710554651E0,2.770195007E-1
3.715619547E0,3.266550899E-1
3.720696630E0,2.878099978E-1
3.725778609E0,2.155216634E-1
3.730824651E0,2.581285834E-1
3.735914807E0,3.246482313E-1
3.740963245E0,3.144601583E-1
3.746030432E0,2.994341552E-1
3.751103140E0,2.918097973E-1
3.756128036E0,2.841996849E-1
3.761191370E0,2.669204175E-1
3.766265849E0,2.400520593E-1
3.771343922E0,2.970544994E-1
3.776357255E0,2.534546852E-1
3.781461370E0,2.240569144E-1
3.786526526E0,2.426521033E-1
3.791595015E0,2.685042918E-1
3.796659599E0,2.823026180E-1
3.801726786E0,2.410603315E-1
3.806793245E0,2.838254273E-1
3.811831995E0,2.595494986E-1
3.816893505E0,2.376406640E-1
3.821965901E0,2.875274420E-1
3.827302828E0,3.351106346E-1
3.832088609E0,1.579371691E-1
3.837180380E0,2.294623107E-1
3.842363245E0,3.031770885E-1
3.847364807E0,2.479710430E-1
3.852418140E0,2.788628340E-1
3.857488974E0,2.640007436E-1
3.862544182E0,2.732425034E-1
3.867600276E0,2.638603449E-1
3.872682776E0,2.472701818E-1
3.877757255E0,2.712577283E-1
3.882810901E0,2.785208523E-1
3.887868557E0,2.833508253E-1
3.892940120E0,2.739395499E-1
3.898007151E0,2.312854528E-1
3.903076838E0,2.268940210E-1
3.908141213E0,2.250218689E-1
3.913231942E0,2.089645416E-1
3.918270328E0,2.405567765E-1
3.923351838E0,2.385737300E-1
3.928415120E0,2.294805050E-1
3.933473765E0,2.346613705E-1
3.938520015E0,2.089142948E-1
3.943599182E0,2.309038192E-1
3.948658609E0,2.408296168E-1
3.953778974E0,2.127106488E-1
3.958752620E0,1.847771108E-1
3.963814078E0,2.330930531E-1
3.968884911E0,2.192394137E-1
3.973947672E0,1.818500608E-1
3.979016890E0,2.230579704E-1
3.984079911E0,2.212177962E-1
3.989148661E0,2.051397413E-1
3.994217463E0,1.963715851E-1
3.999289026E0,2.232109755E-1
4.004358036E0,2.046393901E-1
4.009413036E0,2.100849748E-1
4.014476578E0,2.248803526E-1
4.019557567E0,1.969435513E-1
4.024737307E0,2.071991265E-1
4.029732567E0,2.244008183E-1
4.034799078E0,1.915661097E-1
4.039866578E0,1.734117270E-1
4.044933922E0,1.934172511E-1
4.050000328E0,2.013812065E-1
4.055095745E0,1.902196407E-1
4.060141109E0,1.839048266E-1
4.065199859E0,1.918466985E-1
4.070265276E0,1.854662746E-1
4.075319026E0,1.792317927E-1
4.080397620E0,1.943856925E-1
4.085463609E0,1.784735024E-1
4.090541317E0,1.841287315E-1
