"time","ax"
1.566182013E2,3.900300860E-1
1.566207329E2,3.996013701E-1
1.566232644E2,4.067798555E-1
1.566257960E2,4.019941986E-1
1.566283276E2,4.187439680E-1
1.566308591E2,3.900300860E-1
1.566333907E2,3.589234054E-1
1.566359222E2,3.637090325E-1
1.566384539E2,3.996013701E-1
1.566409854E2,3.948157430E-1
1.566435170E2,4.019941986E-1
1.566460542E2,3.900300860E-1
1.566485858E2,3.637090325E-1
1.566511174E2,3.948157430E-1
1.566536489E2,3.900300860E-1
1.566561805E2,3.804588020E-1
1.566587121E2,3.780659735E-1
1.566612437E2,3.948157430E-1
1.566637752E2,3.996013701E-1
1.566663068E2,3.445664644E-1
1.566688383E2,3.445664644E-1
1.566713699E2,3.804588020E-1
1.566739015E2,4.163511395E-1
1.566764130E2,3.804588020E-1
1.566789446E2,4.235295951E-1
1.566814762E2,4.019941986E-1
1.566840077E2,4.381856322E-1
1.566865393E2,4.381856322E-1
1.566890708E2,3.972085714E-1
1.566916024E2,3.541377485E-1
1.566941340E2,3.852444589E-1
1.566966655E2,4.405784607E-1
1.566991971E2,3.924229145E-1
1.567017287E2,3.613162339E-1
1.567042602E2,3.756731451E-1
1.567067904E2,4.019941986E-1
1.567093219E2,4.211367965E-1
1.567118535E2,4.019941986E-1
1.567143851E2,4.067798555E-1
1.567169166E2,3.996013701E-1
1.567194482E2,3.852444589E-1
1.567219797E2,3.852444589E-1
1.567245113E2,4.139583111E-1
1.567270429E2,4.259224236E-1
1.567295744E2,4.211367965E-1
1.567321060E2,4.381856322E-1
1.567346376E2,4.187439680E-1
1.567371733E2,3.732803464E-1
1.567397049E2,3.876372576E-1
1.567422365E2,3.637090325E-1
1.567447680E2,3.996013701E-1
1.567472996E2,4.019941986E-1
1.567498312E2,3.804588020E-1
1.567523627E2,3.828516304E-1
1.567548943E2,3.948157430E-1
1.567574258E2,3.780659735E-1
1.567599574E2,4.163511395E-1
1.567624890E2,3.804588020E-1
1.567650205E2,3.589234054E-1
1.567675846E2,3.948157430E-1
1.567701162E2,4.067798555E-1
1.567726478E2,4.043870270E-1
