time,ax,ay,az,am,gx,gy,gz,gm,velx,distx,button
1649246853.706013,-1.108154296875,-0.38836669921875,1.03509521484375,1.5653295954964315,8.544921875,-118.2861328125,-192.9931640625,212.45391921079903,0.7899699894987862,-1.5134152496568454,1
1649246853.7110033,-1.108154296875,-0.38836669921875,1.03509521484375,1.5653295954964315,11.16943359375,-120.361328125,-169.5556640625,207.84592037074327,0.7844618525632541,-1.5095023531377436,1
1649246853.7166235,-1.15081787109375,-0.3131103515625,1.07354736328125,1.6046569122066148,22.52197265625,-117.61474609375,-148.8037109375,191.71808104332302,0.7780909786888515,-1.505095558246176,1
1649246853.7217488,-1.15081787109375,-0.3131103515625,1.07354736328125,1.6046569122066148,22.705078125,-102.294921875,-132.14111328125,170.70433356514147,0.7723378551381757,-1.501220136747438,1
1649246853.726824,-1.16290283203125,-0.2933349609375,1.03546142578125,1.5844774407783297,18.798828125,-98.44970703125,-124.267578125,153.70454447731547,0.7663851726174471,-1.497261348783449,1
1649246853.731819,-1.16290283203125,-0.2933349609375,1.03546142578125,1.5844774407783297,7.38525390625,-86.7919921875,-105.224609375,138.50291798974368,0.7605111922384822,-1.4934050681721918,1
1649246853.7367659,-1.16290283203125,-0.2933349609375,1.03546142578125,1.5844774407783297,2.62451171875,-75.25634765625,-96.98486328125,118.59534507553299,0.754761977797898,-1.4896594283170603,1
1649246853.7417157,-1.16290283203125,-0.2933349609375,1.03546142578125,1.5844774407783297,5.4931640625,-64.453125,-84.716796875,102.80280934263395,0.7489911372613278,-1.4859282827757687,1
1649246853.7467878,-1.16290283203125,-0.2933349609375,1.03546142578125,1.5844774407783297,-6.8359375,-48.33984375,-75.1953125,84.92697113524413,0.7432294462269056,-1.4822316222636231,1
1649246853.7517989,-1.16290283203125,-0.2933349609375,1.03546142578125,1.5844774407783297,-10.19287109375,-36.376953125,-63.96484375,75.16387183071338,0.7372875377259334,-1.4784492355454582,1
1649246853.7567725,-0.7935791015625,-0.276123046875,0.9876708984375,1.2967287808453303,-13.7939453125,-25.57373046875,-59.50927734375,62.900541246432546,0.7324036843274371,-1.4747805298210046,1
1649246853.76173,-0.7935791015625,-0.276123046875,0.9876708984375,1.2967287808453303,-14.892578125,-21.05712890625,-44.921875,57.77257236454556,0.7284818637781427,-1.4711707252335053,1
1649246853.766744,-0.62054443359375,-0.27117919921875,1.037841796875,1.2392453943807253,-12.3291015625,-6.4697265625,-43.88427734375,45.83175360240247,0.7249628259596648,-1.4675538369609484,1
1649246853.7717133,-0.62054443359375,-0.27117919921875,1.037841796875,1.2392453943807253,-14.0380859375,-5.859375,-40.52734375,43.52067722872647,0.7218674302421277,-1.4639453023124998,1
1649246853.7768428,-0.4625244140625,-0.25927734375,1.0609130859375,1.1860396917891678,-14.09912109375,15.19775390625,-39.306640625,36.17083636578537,0.7191077931784093,-1.4602737271923618,1
1649246853.7822797,-0.4625244140625,-0.25927734375,1.0609130859375,1.1860396917891678,-18.6767578125,21.1181640625,-34.60693359375,47.90015575417459,0.7167796797584742,-1.456659962390306,1
1649246853.7878776,-0.36895751953125,-0.26806640625,1.0418701171875,1.1373137607831612,-23.49853515625,18.1884765625,-28.62548828125,39.97313491354267,0.7144224982257583,-1.4526026242723915,1
1649246853.7929506,-0.31585693359375,-0.27044677734375,1.0316162109375,1.112267534608428,-22.0947265625,18.6767578125,-21.484375,32.01676483135938,0.7125621714876615,-1.448726161496514,1
1649246853.7979238,-0.31585693359375,-0.27044677734375,1.0316162109375,1.112267534608428,-22.76611328125,18.06640625,-26.2451171875,34.83578535321776,0.7109796125077992,-1.4451599285064083,1
1649246853.8033178,-0.2537841796875,-0.26824951171875,1.06805419921875,1.1300902543008724,-28.80859375,19.59228515625,-13.916015625,35.32053391881441,0.7094780637053191,-1.4414156648411585,1
1649246853.8083322,-0.2537841796875,-0.26824951171875,1.06805419921875,1.1300902543008724,-31.67724609375,7.8125,-9.82666015625,30.34337486875934,0.7081784972906462,-1.437785929416989,1
1649246853.8133748,-0.1556396484375,-0.25946044921875,1.1429443359375,1.1823134863166185,-23.193359375,8.30078125,-6.16455078125,26.933729407928055,0.7071555487855221,-1.4342497066882942,1
